macrostate,P_up,P_down,term_1,term_2
104,0.0031934080259000005,0.0049105140037,-9.12651062188258e-18,1.3977678970220165e-38
105,0.0030341078975,0.0055574518018,-9.211552980159755e-18,1.4150463579344383e-38
106,0.0030914651276999997,0.0048188138002,-9.271724153048892e-18,1.3022707724129373e-38
107,0.0029888633773999997,0.005504626812899999,-9.346970719008382e-18,1.4767657827192508e-38
108,0.0029152654064000002,0.004299175542800001,-9.415626813353314e-18,1.3628856749500802e-38
109,0.0029596398035,0.004449718417,-9.489412758063469e-18,1.6568773048579106e-38
110,0.0029056462408,0.0044279113066,-9.601106357480426e-18,1.197508546088822e-38
111,0.0028973850229,0.0049781151324,-9.620956646959548e-18,1.4458254436189332e-38
112,0.0029767304054000004,0.005524638369399999,-9.668710251185767e-18,1.5159176185109387e-38
113,0.0028826926159,0.0044036451154,-9.7749879907761e-18,1.1813449875163581e-38
114,0.0030841891203,0.0056563766299999995,-9.75515820132301e-18,1.293327921333289e-38
115,0.0029453984006999998,0.0048310685267,-9.827938965060054e-18,1.3032497741738765e-38
116,0.0031074346937,0.005912682905,-9.889803140955546e-18,1.19649811089577e-38
117,0.0028028099172,0.0041966956559,-1.0046890132071323e-17,1.423892932272391e-38
118,0.0028905832994000004,0.0047431802072,-1.0074605964115818e-17,2.1080697965563986e-38
119,0.0029765894214,0.0062432646293,-1.0105293098152331e-17,1.6051278681659516e-38
120,0.0027980324523,0.004965398439,-1.0248111261111575e-17,1.2820323353798076e-38
121,0.0029041466560000002,0.005550683406,-1.0285818324913175e-17,1.565153284411074e-38
122,0.0030625627992,0.0049029643245,-1.0265982034406349e-17,1.5246616880404904e-38
123,0.002794998895,0.0051750107435,-1.0421223281527858e-17,1.4999203143985579e-38
124,0.0027709279810999997,0.0047022493425,-1.0510863614657033e-17,1.6090791917755142e-38
125,0.0028112288165,0.005280785464500001,-1.0580270789765021e-17,1.6126985517302936e-38
126,0.0028345708427,0.0052281862911,-1.0577304640440819e-17,1.5558472930940108e-38
127,0.002741790615,0.004537494507899999,-1.0730409839238909e-17,1.683518579841689e-38
128,0.0027294713065,0.003997060023,-1.0784312838386133e-17,2.0236089521754377e-38
129,0.0027199977279000003,0.0042841800192,-1.0796254902820816e-17,1.4115089296307285e-38
130,0.0028348375506999997,0.004395905255399999,-1.0876882921322532e-17,1.6573906589847286e-38
131,0.0026655192334000006,0.0042065340119,-1.095936626387464e-17,1.8019264316285793e-38
132,0.0025619399624,0.0036378144004,-1.1027239861196286e-17,1.5148729082782404e-38
